0,General Configuration Table,94,020a8a474520200200080c02000f0f030c0104eff9e19e030078e08119000000800b01000000000000007c5c30600086ff7906230f00000000000000dfda7108e0f8e102030068608008000000000a00000000000000005c141060008284
1,General Manufacturer Identification Table,32,47452020493231302b6320200109020033383031383032322020202020202020
2,Device Nameplate Table,33,312e30000000312e300000000120202020324b0005323030000000333000000000
3,ED_MODE Status Table,5,0140000000
5,Device Identification Table,20,2020303338303138303232202020202020202020
6,Utility Information Table,230,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000302020202020202020203020202020202020202030202020202020202020000000000000000000000000000000000000000030313233343536373839000000000000000000000000000000000000000000000000000000000000
27,Present Register Selection Table,10,2829ffffff2829ffffff
52,Clock Table,7,0c0b0817010f44
